run_tag,model_path,vector_dim,kv_size,matrix,clf,max_path_len,coverage_train,coverage_test,pos_rate_train,pos_rate_test,acc,prec_macro,rec_macro,f1_macro,prec_1,rec_1,f1_1,sup_1,sup_0,pos_rate,pred_pos_rate,seconds,bundle_dir,note
embeddings_nonhyper_25__default_nonhyper_25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_nonhyper_25/default_nonhyper_25.model,25,218,codeword,LogReg,3,0.8072289156626506,0.858085808580858,0.6837349397590361,0.1782178217821782,0.8052805280528053,0.7253640776699029,0.8452699687639447,0.7464003518079809,0.47572815533980584,0.9074074074074074,0.6242038216560509,108,498,0.1782178217821782,0.33993399339933994,2.0964272022247314,/content/bundles/poincare_sweeps/embeddings_nonhyper_25__default_nonhyper_25,
embeddings_nonhyper_50__default_nonhyper_50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_nonhyper_50/default_nonhyper_50.model,50,218,codeword,LogReg,3,0.8072289156626506,0.858085808580858,0.6837349397590361,0.1782178217821782,0.8052805280528053,0.7253640776699029,0.8452699687639447,0.7464003518079809,0.47572815533980584,0.9074074074074074,0.6242038216560509,108,498,0.1782178217821782,0.33993399339933994,2.045562505722046,/content/bundles/poincare_sweeps/embeddings_nonhyper_50__default_nonhyper_50,
embeddings_train_25__default_train_25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_25/default_train_25.model,25,333,codeword,LogReg,3,0.8072289156626506,0.858085808580858,0.6837349397590361,0.1782178217821782,0.8052805280528053,0.7253640776699029,0.8452699687639447,0.7464003518079809,0.47572815533980584,0.9074074074074074,0.6242038216560509,108,498,0.1782178217821782,0.33993399339933994,2.0390260219573975,/content/bundles/poincare_sweeps/embeddings_train_25__default_train_25,
embeddings_train_50__default_train_50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_50/default_train_50.model,50,333,codeword,LogReg,3,0.8072289156626506,0.858085808580858,0.6837349397590361,0.1782178217821782,0.8052805280528053,0.7253640776699029,0.8452699687639447,0.7464003518079809,0.47572815533980584,0.9074074074074074,0.6242038216560509,108,498,0.1782178217821782,0.33993399339933994,2.0460264682769775,/content/bundles/poincare_sweeps/embeddings_train_50__default_train_50,
embeddings_nonhyper_25__default_nonhyper_25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_nonhyper_25/default_nonhyper_25.model,25,218,codeword,MLP,3,0.8072289156626506,0.858085808580858,0.6837349397590361,0.1782178217821782,0.8217821782178217,0.7378048780487805,0.855310129406515,0.762897055413865,0.5,0.9074074074074074,0.6447368421052632,108,498,0.1782178217821782,0.3234323432343234,2.0964272022247314,/content/bundles/poincare_sweeps/embeddings_nonhyper_25__default_nonhyper_25,
embeddings_nonhyper_50__default_nonhyper_50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_nonhyper_50/default_nonhyper_50.model,50,218,codeword,MLP,3,0.8072289156626506,0.858085808580858,0.6837349397590361,0.1782178217821782,0.8217821782178217,0.7378048780487805,0.855310129406515,0.762897055413865,0.5,0.9074074074074074,0.6447368421052632,108,498,0.1782178217821782,0.3234323432343234,2.045562505722046,/content/bundles/poincare_sweeps/embeddings_nonhyper_50__default_nonhyper_50,
embeddings_train_25__default_train_25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_25/default_train_25.model,25,333,codeword,MLP,3,0.8072289156626506,0.858085808580858,0.6837349397590361,0.1782178217821782,0.8217821782178217,0.7378048780487805,0.855310129406515,0.762897055413865,0.5,0.9074074074074074,0.6447368421052632,108,498,0.1782178217821782,0.3234323432343234,2.0390260219573975,/content/bundles/poincare_sweeps/embeddings_train_25__default_train_25,
embeddings_train_50__default_train_50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_50/default_train_50.model,50,333,codeword,MLP,3,0.8072289156626506,0.858085808580858,0.6837349397590361,0.1782178217821782,0.8217821782178217,0.7378048780487805,0.855310129406515,0.762897055413865,0.5,0.9074074074074074,0.6447368421052632,108,498,0.1782178217821782,0.3234323432343234,2.0460264682769775,/content/bundles/poincare_sweeps/embeddings_train_50__default_train_50,
embeddings_nonhyper_25__default_nonhyper_25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_nonhyper_25/default_nonhyper_25.model,25,218,katz,LogReg,3,0.8072289156626506,0.858085808580858,0.6837349397590361,0.1782178217821782,0.1782178217821782,0.0891089108910891,0.5,0.15126050420168066,0.1782178217821782,1.0,0.3025210084033613,108,498,0.1782178217821782,1.0,2.0964272022247314,/content/bundles/poincare_sweeps/embeddings_nonhyper_25__default_nonhyper_25,
embeddings_nonhyper_50__default_nonhyper_50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_nonhyper_50/default_nonhyper_50.model,50,218,katz,LogReg,3,0.8072289156626506,0.858085808580858,0.6837349397590361,0.1782178217821782,0.1782178217821782,0.0891089108910891,0.5,0.15126050420168066,0.1782178217821782,1.0,0.3025210084033613,108,498,0.1782178217821782,1.0,2.045562505722046,/content/bundles/poincare_sweeps/embeddings_nonhyper_50__default_nonhyper_50,
embeddings_train_25__default_train_25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_25/default_train_25.model,25,333,katz,LogReg,3,0.8072289156626506,0.858085808580858,0.6837349397590361,0.1782178217821782,0.1782178217821782,0.0891089108910891,0.5,0.15126050420168066,0.1782178217821782,1.0,0.3025210084033613,108,498,0.1782178217821782,1.0,2.0390260219573975,/content/bundles/poincare_sweeps/embeddings_train_25__default_train_25,
embeddings_train_50__default_train_50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_50/default_train_50.model,50,333,katz,LogReg,3,0.8072289156626506,0.858085808580858,0.6837349397590361,0.1782178217821782,0.1782178217821782,0.0891089108910891,0.5,0.15126050420168066,0.1782178217821782,1.0,0.3025210084033613,108,498,0.1782178217821782,1.0,2.0460264682769775,/content/bundles/poincare_sweeps/embeddings_train_50__default_train_50,
embeddings_nonhyper_25__default_nonhyper_25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_nonhyper_25/default_nonhyper_25.model,25,218,katz,MLP,3,0.8072289156626506,0.858085808580858,0.6837349397590361,0.1782178217821782,0.1782178217821782,0.0891089108910891,0.5,0.15126050420168066,0.1782178217821782,1.0,0.3025210084033613,108,498,0.1782178217821782,1.0,2.0964272022247314,/content/bundles/poincare_sweeps/embeddings_nonhyper_25__default_nonhyper_25,
embeddings_nonhyper_50__default_nonhyper_50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_nonhyper_50/default_nonhyper_50.model,50,218,katz,MLP,3,0.8072289156626506,0.858085808580858,0.6837349397590361,0.1782178217821782,0.1782178217821782,0.0891089108910891,0.5,0.15126050420168066,0.1782178217821782,1.0,0.3025210084033613,108,498,0.1782178217821782,1.0,2.045562505722046,/content/bundles/poincare_sweeps/embeddings_nonhyper_50__default_nonhyper_50,
embeddings_train_25__default_train_25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_25/default_train_25.model,25,333,katz,MLP,3,0.8072289156626506,0.858085808580858,0.6837349397590361,0.1782178217821782,0.1782178217821782,0.0891089108910891,0.5,0.15126050420168066,0.1782178217821782,1.0,0.3025210084033613,108,498,0.1782178217821782,1.0,2.0390260219573975,/content/bundles/poincare_sweeps/embeddings_train_25__default_train_25,
embeddings_train_50__default_train_50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_50/default_train_50.model,50,333,katz,MLP,3,0.8072289156626506,0.858085808580858,0.6837349397590361,0.1782178217821782,0.1782178217821782,0.0891089108910891,0.5,0.15126050420168066,0.1782178217821782,1.0,0.3025210084033613,108,498,0.1782178217821782,1.0,2.0460264682769775,/content/bundles/poincare_sweeps/embeddings_train_50__default_train_50,
embeddings_train_50__default_train_50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_50/default_train_50.model,50,333,poincare,LogReg,3,0.8072289156626506,0.858085808580858,0.6837349397590361,0.1782178217821782,0.17491749174917492,0.2533333333333333,0.48348951360999554,0.15086090933548563,0.17333333333333334,0.9629629629629629,0.2937853107344633,108,498,0.1782178217821782,0.9900990099009901,2.0460264682769775,/content/bundles/poincare_sweeps/embeddings_train_50__default_train_50,
embeddings_train_25__default_train_25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_25/default_train_25.model,25,333,poincare,LogReg,3,0.8072289156626506,0.858085808580858,0.6837349397590361,0.1782178217821782,0.20132013201320131,0.4843213058419244,0.4959281570727354,0.18567382975179078,0.17697594501718214,0.9537037037037037,0.2985507246376812,108,498,0.1782178217821782,0.9603960396039604,2.0390260219573975,/content/bundles/poincare_sweeps/embeddings_train_25__default_train_25,
embeddings_nonhyper_25__default_nonhyper_25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_nonhyper_25/default_nonhyper_25.model,25,218,poincare,LogReg,3,0.8072289156626506,0.858085808580858,0.6837349397590361,0.1782178217821782,0.23432343234323433,0.544579533941236,0.5196340919232485,0.22513227513227513,0.18439716312056736,0.9629629629629629,0.30952380952380953,108,498,0.1782178217821782,0.9306930693069307,2.0964272022247314,/content/bundles/poincare_sweeps/embeddings_nonhyper_25__default_nonhyper_25,
embeddings_nonhyper_50__default_nonhyper_50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_nonhyper_50/default_nonhyper_50.model,50,218,poincare,LogReg,3,0.8072289156626506,0.858085808580858,0.6837349397590361,0.1782178217821782,0.2590759075907591,0.5246725555894,0.516566265060241,0.25566877761212403,0.1836734693877551,0.9166666666666666,0.30602782071097373,108,498,0.1782178217821782,0.8894389438943895,2.045562505722046,/content/bundles/poincare_sweeps/embeddings_nonhyper_50__default_nonhyper_50,
embeddings_train_25__default_train_25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_25/default_train_25.model,25,333,poincare,MLP,3,0.8072289156626506,0.858085808580858,0.6837349397590361,0.1782178217821782,0.2887788778877888,0.5587995100040833,0.5455153949129853,0.2871463857312463,0.1935483870967742,0.9444444444444444,0.32125984251968503,108,498,0.1782178217821782,0.8696369636963697,2.0390260219573975,/content/bundles/poincare_sweeps/embeddings_train_25__default_train_25,
embeddings_nonhyper_25__default_nonhyper_25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_nonhyper_25/default_nonhyper_25.model,25,218,poincare,MLP,3,0.8072289156626506,0.858085808580858,0.6837349397590361,0.1782178217821782,0.31683168316831684,0.5072916666666667,0.5081994645247657,0.31622841444270017,0.18125,0.8055555555555556,0.29591836734693877,108,498,0.1782178217821782,0.7920792079207921,2.0964272022247314,/content/bundles/poincare_sweeps/embeddings_nonhyper_25__default_nonhyper_25,
embeddings_train_50__default_train_50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_50/default_train_50.model,50,333,poincare,MLP,3,0.8072289156626506,0.858085808580858,0.6837349397590361,0.1782178217821782,0.36468646864686466,0.573814050997026,0.5844489067380634,0.3639226270805218,0.20964360587002095,0.9259259259259259,0.3418803418803419,108,498,0.1782178217821782,0.7871287128712872,2.0460264682769775,/content/bundles/poincare_sweeps/embeddings_train_50__default_train_50,
embeddings_nonhyper_50__default_nonhyper_50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_nonhyper_50/default_nonhyper_50.model,50,218,poincare,MLP,3,0.8072289156626506,0.858085808580858,0.6837349397590361,0.1782178217821782,0.3696369636963696,0.5637774061687105,0.5765841142347167,0.36808831236897277,0.20726495726495728,0.8981481481481481,0.3368055555555556,108,498,0.1782178217821782,0.7722772277227723,2.045562505722046,/content/bundles/poincare_sweeps/embeddings_nonhyper_50__default_nonhyper_50,
